,Compound,myY,Fit,AbsResidual
156350,F12Li4Pd2,0.0,2.494810490012169,2.494810490012169
85267,B12P2,2.4904,5.09423017501831e-05,2.49034905769825
148799,Fe3H28O30S4,0.37200000000000005,2.8618579906225206,2.4898579906225207
214216,Mn6O20Se6,0.0,2.472161980867386,2.472161980867386
51308,Ba1F3Li1,6.560399999999999,4.089423947930336,2.4709760520696626
155439,F12Fe2H24N6O6,3.3252,0.8564211618900299,2.4687788381099702
32064,As8Co4O28Sr4,0.3360000000000001,2.8006631398200987,2.4646631398200984
83463,B4Mg6Mn6O20,0.0,2.4566070502996444,2.4566070502996444
74993,Bi2Ca2Cl2O4,3.6319999999999997,1.1814823460578918,2.450517653942108
123819,Co1Na1O2,2.6935,0.24365757703781127,2.4498424229621887
156770,F8O4Pb8,0.8934,3.340870645046234,2.4474706450462342
231378,O3Rh1Sn1,2.4538,0.006433519721031189,2.447366480278969
112819,Cl24Co4Fe4H72N24,0.0,2.4402907240390777,2.4402907240390777
155545,F3Ga1Mn1,3.2197000000000005,0.7841460865736007,2.4355539134264
69640,Be8Na2O14Sb2,3.3887,5.8151355022192,2.4264355022192
219813,N16,7.2733,4.848677325248718,2.424622674751282
80808,Bi24O64V12,0.0,2.421138061881065,2.421138061881065
157209,F3Sc1Xe1,3.1622,0.7420578855276108,2.420142114472389
155991,F16H4P4,7.4514,5.034535657167435,2.4168643428325645
232216,O8Si4,2.7602,5.174530580043792,2.414330580043792
99395,Ca4Mn2O12W2,0.0,2.408398652076721,2.408398652076721
226702,Ni2O8S2,0.3873,2.785238577723503,2.3979385777235027
231817,O12Si6,2.4712,4.86202859044075,2.39082859044075
65522,Be2Cs2H6,3.1910000000000003,5.581646118164063,2.3906461181640624
56288,Ba1O3Ti1,0.0,2.3899893093109132,2.3899893093109132
219823,N2,2.9446,0.5681918096542359,2.376408190345764
220387,Na4O8,0.0,2.373717899918556,2.373717899918556
116767,Cl1Na1O4,4.4935,2.1209296000003817,2.3725703999996184
119603,Co2F4,6.3178,3.9473168367147444,2.3704831632852557
2875,Ag2Br26Mo12,2.3707,0.0003533095121383667,2.3703466904878616
104485,Cd1Cs1N3O6,0.0,2.355663509964943,2.355663509964943
119598,Co2F4,6.299200000000001,3.9473168367147444,2.3518831632852564
230528,O3Pb1Ti1,0.0,2.345453686714172,2.345453686714172
61316,B8Ce2Cl2H4O16,5.5147,3.1736391192674636,2.341060880732537
15856,Al2Ce2O6,3.9482000000000004,1.6094310945272445,2.338768905472756
156506,F3Mn1Tl1,0.0,2.337405350804329,2.337405350804329
106519,Cd2H12O14P4,4.935,2.5986456906795503,2.3363543093204493
56289,Ba1O3Ti1,0.0547,2.3899893093109132,2.3352893093109133
72036,Be1Se1,2.6691,0.3368885624408722,2.3322114375591276
134796,Cs2F6Ni2,4.1472,1.8160519748926163,2.3311480251073835
103805,C16Cu4H4N24O2,0.0,2.321202960014343,2.321202960014343
111555,Ce7O12,0.0,2.320661218762398,2.320661218762398
33295,As4F28Kr4,2.45,4.77019660115242,2.3201966011524195
170775,Ge1O3Si1,2.5148,0.19500932216644287,2.319790677833557
49422,Ba1Cl2Zn1,2.3637,0.044752538204193115,2.318947461795807
208622,Lu4O14V4,0.0,2.31883715569973,2.31883715569973
40641,Au1Ca1Cl1,2.3178,0.0019451195001602172,2.31585488049984
230152,N16Si12,2.3434,4.656905304193497,2.313505304193497
95847,Ca1F3Ga1,4.0863,1.7806815844774246,2.305618415522575
80824,Bi12O20Zn1,0.0,2.3055395716428757,2.3055395716428757
118599,C6N8,0.8706,3.1733729046583177,2.3027729046583176
185013,H24N8O16S4,2.144,4.441823071837425,2.297823071837425
49421,Ba1Cl2Zn1,2.3329,0.044752538204193115,2.288147461795807
25562,Al8O32Si8Sr4,2.7073,4.992281482815742,2.284981482815742
25563,Al8O32Si8Sr4,2.7074,4.992281482815742,2.2848814828157424
116114,Cl4Li4P16,2.5818000000000003,0.298194871544838,2.283605128455162
3323,Ag1Ca1F3,2.8139999999999996,0.5332295054197311,2.2807704945802687
205827,Li14O14Rb2Tb3,0.0,2.279452731013298,2.279452731013298
156116,F6K2Mn1,3.221,0.9419149428606033,2.2790850571393966
212695,Mg2Te2,2.3746,0.09732061147689819,2.2772793885231017
230438,O24Pb3Re6,3.8298,1.5582620173692703,2.27153798263073
74946,Bi4Br36W12,2.2686,0.0025367075204849243,2.266063292479515
204993,Li4N4,0.0,2.2631769394874572,2.2631769394874572
56053,Ba3O23Si4Ta6,0.1657,2.4247346979379656,2.2590346979379654
220583,Na4O16Si4Y4,2.1556,4.409848834872246,2.254248834872246
50066,Ba2Cs4H12N4O24,0.7539,3.0056818026304244,2.2517818026304246
118711,C8N12Na4,1.3982999999999999,3.649473083615303,2.251173083615303
134730,Cs6F18Fe6,0.0,2.2447938895225525,2.2447938895225525
156871,F3O1Si1,0.0,2.2362920027971267,2.2362920027971267
148792,Fe8H6O30P6,0.0,2.236113978624344,2.236113978624344
233898,O5Ta2,2.6125,0.384070445895195,2.228429554104805
48954,Ba10Cl2Co10O26,0.0,2.2277791607379913,2.2277791607379913
93649,C16,4.3718,2.1497612994909288,2.2220387005090716
5338,Ag4F8O24S8,0.9797,3.2007146787643435,2.2210146787643437
156217,F6K2Re1,3.3471,1.1294105494022368,2.2176894505977636
121837,Co2H20O18Se2,3.262,1.0510667669773102,2.21093323302269
230096,N2O4Sr2Ta2,1.1072,3.3091149669885636,2.2019149669885634
93673,C2,4.1279,1.927801308631897,2.2000986913681033
111573,Ce8O64S16,1.4556,3.650776220560074,2.1951762205600738
21926,Al2K2O16Si6,0.0,2.192088874578476,2.192088874578476
93672,C2,4.1179,1.927801308631897,2.1900986913681026
201286,La6N6O12Si6,0.8281,3.018058590888977,2.189958590888977
93664,C2,4.1177,1.927801308631897,2.189898691368103
93666,C2,4.1177,1.927801308631897,2.189898691368103
93663,C2,4.1176,1.927801308631897,2.1897986913681033
43676,Au2H14N8O30,0.0,2.1890159034729004,2.1890159034729004
93656,C2,4.1154,1.927801308631897,2.187598691368103
135015,Cs4I12Pb4,0.0,2.187263597846031,2.187263597846031
93644,C14,4.4355,2.25386709690094,2.1816329030990604
185426,H8O32P8Ti4,0.9748,3.1557594668865203,2.18095946688652
128598,Cr2F8Sr2,0.0,2.1755134546756745,2.1755134546756745
54361,Ba2Lu1Nb1O6,3.0881,0.9165719693899155,2.1715280306100846
223659,Nb11O30Rb4,0.0,2.1691434758901598,2.1691434758901598
3727,Ag3C6Fe1N6,0.0,2.1665519917011262,2.1665519917011262
3726,Ag3C6Fe1N6,0.0,2.1665519917011262,2.1665519917011262
55939,Ba10O34Re6,0.0,2.159087027311325,2.159087027311325
100707,Ca4O20Si4Ti4,0.0,2.156239188313484,2.156239188313484
111558,Ce2O8P2,5.229699999999999,3.0778374648094178,2.1518625351905816
61073,B2C6Cs2F18N2O4,3.3924000000000003,5.543213711977005,2.1508137119770048
156390,F3Li1Zn1,1.1119,3.2627010524272917,2.1508010524272914
93646,C16,0.0,2.1497612994909288,2.1497612994909288
230988,O8P2Tl2,0.7108,2.858245469331741,2.1474454693317413
110934,Ce4Cl6N2,3.3805,1.235416001677513,2.145083998322487
156808,F2O8Rb2S2,2.4231,4.5673591452836995,2.1442591452836997
87460,Br2Co1H12O6,3.8341,1.6917582362890244,2.1423417637109754
112717,C1K1N1,5.0546,2.9143778604269026,2.140222139573097
24037,Al1N1,4.4346,2.300519289970398,2.1340807100296018
58513,Ba4S12U4,2.3359,0.20229845345020295,2.133601546549797
24034,Al1N1,4.4339,2.300519289970398,2.1333807100296025
24035,Al1N1,4.4339,2.300519289970398,2.1333807100296025
118589,C2N4,4.6337,2.5005253398418428,2.1331746601581574
70300,Be1O1,8.2161,6.083417930603027,2.1326820693969735
215582,Mn2Rb2Sb2,2.1333,0.004710245728492737,2.1285897542715073
2260,Ag2B2F10,0.8233,2.9485343998670577,2.1252343998670575
98980,Ca2Mg4O24S6,5.6257,3.5059757405519485,2.1197242594480517
77129,Bi1F3Hg1,2.2151,0.0976218831539154,2.1174781168460846
103778,C6Cu1Fe1Li2N6,0.0,2.1051593971252442,2.1051593971252442
4234,Ag8C16O16,0.9228,3.0260132586956026,2.1032132586956025
23586,Al2Mn1S4,0.0,2.0895266836881636,2.0895266836881636
23585,Al2Mn1S4,0.0,2.0895266836881636,2.0895266836881636
132630,Cr1O3Y1,0.0,2.0827332812547685,2.0827332812547685
169668,Ge4Na4O16Y4,1.5619,3.6437040048837663,2.0818040048837663
33304,As4F24Mn2,4.0658,1.9847389167547227,2.0810610832452774
214177,Mn2O8Re2,0.0,2.071064755320549,2.071064755320549
51339,Ba1F3Na1,6.0419,3.970984739661217,2.0709152603387833
79290,Bi4Mg2O12,0.0,2.069835566878319,2.069835566878319
229988,N8O12,0.9370999999999999,3.006827730536461,2.069727730536461
118562,C6Mn2N6Ru1,3.967,1.8989712524414062,2.0680287475585937
134779,Cs6F18Mn6,3.4834999999999994,1.4161658614873887,2.067334138512611
134778,Cs6F18Mn6,3.4819999999999993,1.4161658614873887,2.065834138512611
213219,Mn2Na2O4,3.2671999999999994,1.2040415692329407,2.063158430767059
107049,Cd1K1N3O6,0.0,2.0559370827674868,2.0559370827674868
103725,C4Cs4H4N8O8,1.0349,3.0896204739809034,2.0547204739809035
103768,C4Cs2O4,2.6863999999999995,4.740944764614105,2.0545447646141057
100708,Ca4O20Si4Ti4,0.1033,2.156239188313484,2.052939188313484
51425,Ba1F3Tl1,0.4081,2.4582733565568926,2.0501733565568925
215581,Mn2Rb2Sb2,2.0535,0.004710245728492737,2.0487897542715072
28396,Al2S4Zn1,0.2436,2.290912010073662,2.047312010073662
230938,O2Pt1,2.0533,0.006053369641304016,2.0472466303586963
117380,Cl4O12Sr2,5.2246999999999995,3.177743535041809,2.0469564649581904
112531,C12H36N8O14S4,2.5892,4.633614812493325,2.044414812493325
646,Ag4As4F28,1.4811,3.524629387259483,2.043529387259483
96581,Ca2Ge2O10Zr2,1.6418,3.6840755051374434,2.0422755051374435
114452,Cl1Gd1O5Te2,0.3272,2.3682654303312303,2.0410654303312303
115242,Cl4H16N4O4,5.3226,3.2827378100156785,2.039862189984322
103370,C6Cd2N6Ru1,2.8738,4.912321788668632,2.038521788668632
32051,As8Co12O32,0.0,2.0354002141952514,2.0354002141952514
230454,O12Pb6S2,0.6543,2.688817946910858,2.034517946910858
230937,O2Pt1,2.0402,0.006053369641304016,2.034146630358696
90129,Br2K1Na1,3.3,1.2673869520425796,2.0326130479574203
112493,C4H8N2O4,2.8000999999999996,4.831979205608368,2.0318792056083685
156381,F3Li1Tc1,0.0,2.0283329284191134,2.0283329284191134
201654,La4O14Zr4,3.8088,1.7816429150104522,2.0271570849895477
56290,Ba1O3Ti1,0.3636,2.3899893093109132,2.0263893093109133
115609,Cl1K1O4,5.1425,3.1197618836164476,2.0227381163835525
647,Ag4As4F28,1.504,3.524629387259483,2.020629387259483
9090,Ag2O4Y2,2.5359,0.5161704075336456,2.019729592466354
201653,La4O14Zr4,3.7972,1.7816429150104522,2.015557084989548
60756,B16Ca8H64,5.5958,3.5867242187261583,2.0090757812738413
195068,K4Mn6S8,3.2742,1.269505713582039,2.004694286417961
84911,B3O12P3,7.005200000000001,5.00218346118927,2.003016538810731
112514,C4H20N4O12Pd1Zn1,3.5581,1.556572704911232,2.001527295088768
112630,C36H9O36Re9,3.1737,1.1725427937507629,2.0011572062492373
230755,O12P4Pd2,0.5815,2.5795516395568847,1.9980516395568846
165590,Gd8O16Si4Te4,1.7504,3.7452517318725587,1.9948517318725587
205740,Li1O2,0.0,1.9943730372190476,1.9943730372190476
129773,Cr2H26N4O20P4,3.5565,1.5675570702552795,1.9889429297447208
124645,Co2O20P4V4,0.0,1.9860217863321306,1.9860217863321306
93642,C12,0.3738000000000001,2.3574815475940705,1.9836815475940703
84314,B4N4,5.1279,3.1451941430568695,1.9827058569431308
52988,Ba2H18Re2,0.4655,2.4478214204311373,1.9823214204311372
84282,B1N1,4.4562,2.4832520651817322,1.9729479348182677
84279,B1N1,4.4562,2.4832520651817322,1.9729479348182677
84277,B1N1,4.4561,2.4832520651817322,1.972847934818268
84278,B1N1,4.4561,2.4832520651817322,1.972847934818268
84274,B1N1,4.4559,2.4832520651817322,1.9726479348182675
84273,B1N1,4.4558,2.4832520651817322,1.9725479348182677
117268,Cl4O12Pb2,4.3401,2.3739172869920733,1.9661827130079264
55636,Ba4Ni2O12Te2,3.7793,1.8153612411022186,1.9639387588977815
118436,Cl2Te1W1,2.0315,0.06809178113937378,1.963408218860626
149397,Fe4K12O16,0.2852,2.238665475845337,1.953465475845337
115998,Cl1La1Se1,3.0023,1.0491435581445694,1.9531564418554306
76837,Bi2Fe2O6,0.0,1.9530117225646972,1.9530117225646972
97445,Ca4H16Mg4Ni4,1.9525,0.0002322530746459961,1.952267746925354
132304,Cr4O16Pb4,0.0,1.9468416786193847,1.9468416786193847
118368,Cl2Sr1Zn1,1.9737,0.026872338056564332,1.9468276619434357
185771,I6Mo1O18Rb2,1.087,3.033766348361969,1.946766348361969
103610,C6Co1Fe1H18N12,0.0,1.9466143554449082,1.9466143554449082
112412,C4H16N4Na4O8,5.8384,3.8975571632385253,1.9408428367614747
233940,O20Tb11,0.0,1.9370311772823334,1.9370311772823334
138132,Cu2I6Na2O18,0.0,1.9369139552116394,1.9369139552116394
113994,Cl8F12Ir2,0.0,1.9349244666099548,1.9349244666099548
117278,Cl2O8Pb2Re2,3.4416,1.5091799312829972,1.932420068717003
230790,O9Pr6,3.0211,1.0921908986568452,1.928909101343155
93650,C2,0.0,1.927801308631897,1.927801308631897
93652,C2,0.0,1.927801308631897,1.927801308631897
93651,C2,0.0,1.927801308631897,1.927801308631897
103767,C2Cs8O8,0.5134,2.438789295554161,1.9253892955541612
234413,O12U4,2.8862,0.9628708529472351,1.923329147052765
195816,K6Nb16O42,0.0,1.9162598645687103,1.9162598645687103
60730,B1Ca1F3,2.3884,0.47503696382045746,1.9133630361795424
33268,As2F20H4N2S2,4.6321,2.719843999743462,1.9122560002565385
63425,Be1Br1K1,1.9121,0.00023389637470245362,1.9118661036252975
98341,Ca1K1P1,2.2135,0.3021891862154007,1.911310813784599
9060,Ag4O14Te4,0.0,1.908695206642151,1.908695206642151
92041,Br8P16Se12,2.2324,0.32632049977779387,1.9060795002222064
103737,C8Cs4H4O16,2.3368,4.240408166050911,1.903608166050911
87883,Br1Cu1K2,1.9163,0.013965311646461486,1.9023346883535384
182098,Hg4Nb4O14,0.5345,2.435513650774956,1.901013650774956
233889,O10Ta4,3.2114,1.3116475957632066,1.8997524042367933
116031,Cl1La1Te1,2.5871,0.6893139791488647,1.8977860208511352
112527,C2H12N6O8Re2,3.7521,1.8553613555431365,1.8967386444568635
69647,Be1Na1P1,1.9154,0.01881304681301117,1.8965869531869888
233888,O10Ta4,3.2053,1.3116475957632066,1.8936524042367933
40279,Au1Br1K2,1.9136,0.020627250075340272,1.8929727499246598
229989,N8O12,1.1151,3.006827730536461,1.891727730536461
61337,B2Ce2O6,4.3874,2.500558753609657,1.8868412463903432
48064,Ba1Br2Zn1,1.904,0.01771587014198303,1.8862841298580169
16302,Al2Cl14Se2,0.4328,2.3174885541200636,1.8846885541200635
184992,H56N16O24P8,3.0803,4.964252261519432,1.8839522615194322
125437,C10O10P8S6W2,2.3828,0.5023453241586685,1.8804546758413316
135170,Cs4O16S4,3.4968,5.374249600172043,1.8774496001720427
234574,O14V4Y4,0.0,1.8694515579938888,1.8694515579938888
111561,Ce4O16P4,1.9702,3.8386574548482897,1.8684574548482897
220439,Na2O2Pt1,2.0676,0.2048022949695587,1.8627977050304414
79517,Bi12Mn1O20,0.0,1.8607382333278657,1.8607382333278657
84882,B12O2,1.8581,2.5197267532348633e-05,1.8580748027324678
84881,B12O2,1.8581,2.5197267532348633e-05,1.8580748027324678
19434,Al1F4Tl1,4.2567,2.3998573261499403,1.85684267385006
111969,C2Fe2O6,3.1502,1.295322505235672,1.8548774947643278
156732,F32N8O8Re4,0.8002,2.6543710911273957,1.8541710911273956
5078,Ag4Eu4O16Ti4,2.0319,0.1797211539745331,1.8521788460254667
19433,Al1F4Tl1,4.2519,2.3998573261499403,1.8520426738500597
231215,O6Rb4Tb2,0.0,1.8519317883253097,1.8519317883253097
103470,C6Cl10H28N2,5.7165,3.864704856276512,1.8517951437234879
