,Compound,GT_HalfMetal,GT_InsulatorDirect,GT_InsulatorDirectSpinPolarised,GT_InsulatorIndirect,GT_InsulatorIndirectSpinPolarised,GT_Metal,Fit
108971,Cd2Os1Si1,0,0,0,0,0,1,5
214225,Mn8O16Si4,0,1,0,0,0,0,3
233365,O3Sr1Zr1,0,0,0,1,0,0,3
179742,Hf1Sn1Ti1,0,0,0,0,0,1,5
187439,In1Mo1Rh1,0,0,0,0,0,1,5
214246,Mn1Os2Pb1,0,0,0,0,0,1,5
204850,Li1Mo1Pd1,0,0,0,0,0,1,5
12264,Al1Ba1Be2,0,0,0,0,0,1,5
237161,Pb1Y1Zn2,0,0,0,0,0,1,5
199629,La1Li2Tl1,0,0,0,0,0,1,5
21189,Al1In1K2,0,0,0,0,0,1,5
172292,Ge1Re2Sn1,0,0,0,0,0,1,5
208699,Mg2Mn1Nb1,0,0,0,0,0,1,5
53130,Ba2In1Os1,0,0,0,0,0,1,5
59443,B1Ba2Tl1,0,0,0,0,0,1,5
5965,Ag20Ge4O16,0,0,0,1,0,0,5
80627,Bi12O44Ru12,1,0,0,0,0,0,5
49614,Ba8Co4O16,0,0,0,0,1,0,2
92666,Br1Te1W2,0,0,0,0,0,1,5
61752,B2Cl1Sc1,0,0,0,0,0,1,5
210358,Mg1Os1Tl1,0,0,0,0,0,1,5
126156,Co4Sb12Sn1,0,0,0,0,0,1,1
3166,Ag1B2Se1,0,0,0,0,0,1,5
158707,Ga1In1Re2,0,0,0,0,0,1,5
241957,P8W2Zn2,0,0,0,0,0,1,5
184388,H4In2O28Rb6Si10,0,1,0,0,0,0,3
67456,Be1Hg2Os1,0,0,0,0,0,1,5
72745,B2Fe1Ga1,0,0,0,0,0,1,5
187472,In1Mo1Se1,0,0,0,0,0,1,5
144509,Cu4Se14U6,0,0,0,0,1,0,4
38000,As1Pt1Rh1,0,0,0,0,0,1,5
177052,Hf1Nb1Tl1,0,0,0,0,0,1,5
91020,Br2Mn1Rh1,0,0,0,0,0,1,5
80214,Bi1Nb1Te2,0,0,0,0,0,1,5
91142,Br1Mo2Pb1,0,0,0,0,0,1,5
24308,Al2Na1Te1,0,0,0,0,0,1,5
165633,Gd1Rb1Se2,0,0,0,0,1,0,3
228517,Ni1Sb1W1,0,0,0,0,0,1,5
152271,Fe2O8W2,0,1,0,0,0,0,1
56777,Ba2Pd2S4,0,0,0,1,0,0,3
141470,Cu1Nb2Te1,0,0,0,0,0,1,5
17012,Al2Co1V1,0,0,0,0,0,1,5
236634,Pb1Sr1Tl1,0,0,0,0,0,1,5
204263,Li1Mg1Mn1,0,0,0,0,0,1,5
192549,Ir1Ni1Rh2,0,0,0,0,0,1,5
7631,Ag2La1V1,0,0,0,0,0,1,5
99233,Ca1Mg1Tl2,0,0,0,0,0,1,5
232691,Os1Pb2Sr1,0,0,0,0,0,1,5
74560,Bi2Br1Co1,0,0,0,0,0,1,5
160763,Ga1Mn2Sr1,0,0,0,0,0,1,5
39596,Au1Ba1Te1,0,0,0,0,0,1,5
138122,Cu6I6,0,1,0,0,0,0,1
183157,Hg1Pt1Rh1,0,0,0,0,0,1,5
142705,Cu1Pd1Ru2,0,0,0,0,0,1,5
124032,Co12Nb2P7,0,0,0,0,0,1,5
4734,Ag1Cu1Mg1,0,0,0,0,0,1,5
191924,Ir1Mn1Ni2,0,0,0,0,0,1,5
193817,Ir1Sr2Zn1,0,0,0,0,0,1,5
219847,Na1,0,0,0,0,0,1,5
144474,Cu1Se1Ti2,0,0,0,0,0,1,5
156070,F3Ir1Si1,0,0,0,0,0,1,5
192123,Ir1Mo2Rh1,0,0,0,0,0,1,5
97092,Ca1Hg1,0,0,0,0,0,1,5
222331,Na1Sb1Zn2,0,0,0,0,0,1,5
116156,Cl1Li1Rh2,0,0,0,0,0,1,5
27410,Al1Rh2Y1,0,0,0,0,0,1,5
59352,B1Ba1Sb2,0,0,0,0,0,1,5
138145,Cu1In1K2,0,0,0,0,0,1,5
101209,Ca1Pd1Re1,0,0,0,0,0,1,5
27746,Al1Sb2Zn1,0,0,0,0,0,1,5
35175,As1Ir1Re2,0,0,0,0,0,1,5
245940,Sc1Sr2Zn1,0,0,0,0,0,1,5
43669,Au1Hg1Te1,0,0,0,0,0,1,5
132410,Cr1Os1Re1,0,0,0,0,0,1,5
45543,Au1Os1Si2,0,0,0,0,0,1,5
43773,Au1In1Pb2,0,0,0,0,0,1,5
99677,Ca1Mo1Sb2,0,0,0,0,0,1,5
144117,Cu2Sb1Ta1,0,0,0,0,0,1,5
238291,P1Pb1Si1,0,0,0,0,0,1,5
91313,Br1Na1Sn1,0,0,0,0,0,1,5
64864,Be1Co1Na1,0,0,0,0,0,1,5
158990,Ga1Ir2Os1,0,0,0,0,0,1,5
62435,B1Cr2Sn1,0,0,0,0,0,1,5
238214,P8Pb8Sb24,0,0,0,0,0,1,5
91600,Br1Ni1Te1,0,0,0,0,0,1,5
210546,Mg1Pb2S1,0,0,0,0,0,1,5
57875,Ba1Sc1Si1,0,0,0,0,0,1,5
156,Ag2Al1Fe1,0,0,0,0,0,1,5
109451,Cd1P1Pb2,0,0,0,0,0,1,5
160489,Ga1Mg1Y1,0,0,0,0,0,1,5
198131,K8S20,0,0,0,1,0,0,3
82952,B12La4P8,0,0,0,0,0,1,5
243294,Re1Te1Zn1,0,0,0,0,0,1,5
238952,P1Pt2Rh1,0,0,0,0,0,1,5
44050,Au1K1Sb1,0,0,0,0,0,1,5
18200,Al8Cu4Si4,0,0,0,0,0,1,5
47526,Ba1Bi1Sr2,0,0,0,0,0,1,5
208407,Li1Te1Y2,0,0,0,0,0,1,5
206960,Li1Pt1Sc1,0,0,0,0,0,1,5
130296,Cr1K1Na1,0,0,0,0,0,1,5
134516,Cr3Te4,0,0,0,0,0,1,5
217688,Mo4O8,0,0,0,0,0,1,5
20317,Al2Hf1In1,0,0,0,0,0,1,5
210235,Mg1Os2Re1,0,0,0,0,0,1,5
27036,Al6P28Y4,0,0,0,0,0,1,5
118416,Cl1Ta1Zn1,0,0,0,0,0,1,5
114395,Cl2Ga1Tl1,0,1,0,0,0,0,1
200838,La1Nb1Sb1,0,0,0,0,0,1,5
84791,B1Ni1Sb2,0,0,0,0,0,1,5
47330,Ba2Bi1Mg1,0,0,0,0,0,1,5
12458,Al1Ba1Li2,0,0,0,0,0,1,5
123739,Co1Mo1V1,0,0,0,0,0,1,5
35690,As1La1Na1,0,0,0,0,0,1,5
203065,La1Ru2Si2,0,0,0,0,0,1,5
126044,Co1Ru2Si1,0,0,0,0,0,1,5
236925,Pb2Te1V1,0,0,0,0,0,1,5
210035,Mg1O1,0,1,0,0,0,0,1
108080,Cd1Mo2Pd1,0,0,0,0,0,1,5
7418,Ag1K2Y1,0,0,0,0,0,1,5
238339,P12Pb4Sr10,0,0,0,0,0,1,5
160463,Ga1Mg1Tl1,0,0,0,0,0,1,5
249163,Ta1V1Zr2,0,0,0,0,0,1,5
137732,Cu2Hg1P1,0,0,0,0,0,1,5
244829,Ru2W1Zn1,0,0,0,0,0,1,5
45027,Au1Mo1Si2,0,0,0,0,0,1,5
176576,Hf2Mo1Si1,0,0,0,0,0,1,5
112867,Cl1Co1Ni1,0,0,0,0,0,1,5
178280,Hf3P3Ru3,0,0,0,0,0,1,5
158034,Ga1Hf2Sb1,0,0,0,0,0,1,5
163243,Ga1Pt2Re1,0,0,0,0,0,1,5
134735,Cs2F6Ga1Li1,0,1,0,0,0,0,1
143563,Cu1Re2Ru1,0,0,0,0,0,1,5
34460,As1Hf1Zn1,0,0,0,0,0,1,5
9215,Ag1Pb1Tc1,0,0,0,0,0,1,5
109792,Cd1Pt1Y1,0,0,0,0,0,1,5
244184,Ru1,0,0,0,0,0,1,5
78119,Bi1Hf1Sb1,0,0,0,0,0,1,5
117098,Cl2Nb1Te1,1,0,0,0,0,0,5
40372,Au1Br1P2,0,0,0,0,0,1,5
246093,Sc1Te2V1,0,0,0,0,0,1,5
216599,Mn1Si2Zn1,0,0,0,0,0,1,5
18619,Al2Eu2O7Sr1,1,0,0,0,0,0,0
44646,Au2Mg1Pd1,0,0,0,0,0,1,5
158879,Ga1In1Zr1,0,0,0,0,0,1,5
32075,As2Co1P1,0,0,0,0,0,1,5
224068,Nb1Pb1Ta1,0,0,0,0,0,1,5
222945,Na1Ta1Zn2,0,0,0,0,0,1,5
248668,Sr1Te1Zn1,0,0,0,0,0,1,5
80368,B2In1Mo1,0,0,0,0,0,1,5
62358,B1Cr1Pb1,0,0,0,0,0,1,5
208240,Li1Ta1Tc2,0,0,0,0,0,1,5
51998,Ba2Ge1Mo1,0,0,0,0,0,1,5
81492,Bi2Pt1Zn1,0,0,0,0,0,1,5
153024,Fe1P2Tc1,0,0,0,0,0,1,5
213864,Mn16Ni7Si6,0,0,0,0,0,1,5
41018,Au2Ce2Pb2,0,0,0,0,0,1,5
166906,Ge1In1Tl1,0,0,0,0,0,1,5
134047,Cr12Se18,1,0,0,0,0,0,0
47464,Ba1Bi2Rh1,0,0,0,0,0,1,5
82012,Bi2Sc1Sn1,0,0,0,0,0,1,5
219437,Mo2Se1V1,0,0,0,0,0,1,5
110437,Cd2Se1V1,0,0,0,0,0,1,5
127549,Cr2,0,0,0,0,0,1,5
65511,Be1Cr1Zr2,0,0,0,0,0,1,5
156923,F2O7Te2V2,0,0,0,1,0,0,3
111533,Ce1O2,0,0,0,1,0,0,3
46763,Ba1Be1Fe1,0,0,0,0,0,1,5
228348,Ni2Sb4,0,0,0,0,0,1,5
12358,Al1Ba1Fe1,0,0,0,0,0,1,5
17621,Al3Cu3Er3,0,0,0,0,0,1,5
64921,Be2Co1Pb1,0,0,0,0,0,1,5
6811,Ag4Ho4Se8,0,1,0,0,0,0,1
102562,Ca1Si2,0,0,0,0,0,1,5
91795,Br1Pb1Re1,0,0,0,0,0,1,5
47123,Ba1Be2Zn1,0,0,0,0,0,1,5
162384,Ga2Os1Sr1,0,0,0,0,0,1,5
108492,Cd1Nb2Te1,0,0,0,0,0,1,5
233770,Os1Ta1V1,0,0,0,0,0,1,5
216863,Mn1Tc2Te1,0,0,0,0,0,1,5
154502,Fe1Se1V2,0,0,0,0,0,1,5
44398,Au1Li1Mg1,0,0,0,0,0,1,5
125206,Co24P8Pb8,0,0,0,0,0,1,5
34153,As1Ge1Tl1,0,0,0,0,0,1,5
1942,Ag2B2C8F8H16N16,0,1,0,0,0,0,3
144234,Cu1Sc2Si1,0,0,0,0,0,1,5
220187,Na2Ni1Pb1,0,0,0,0,0,1,5
71418,Be1Re1Tl2,0,0,0,0,0,1,5
33098,As2Fe1Os1,0,0,0,0,0,1,5
217198,Mo1Na1Os1,0,0,0,0,0,1,5
63704,Be2Br1W1,0,0,0,0,0,1,5
86258,B1P2Tl1,0,0,0,0,0,1,5
58894,B1Ba2Cu1,0,0,0,0,0,1,5
182363,Hg4O14Os4,0,0,0,0,0,1,5
65976,Be2Fe1K1,0,0,0,0,0,1,5
208020,Li2Si1V1,0,0,0,0,0,1,5
76668,Bi4Eu2Pd4,0,0,0,0,0,1,5
17460,Al8Cr4Th1,0,0,0,0,0,1,5
62776,B1Cu1Pt1,0,0,0,0,0,1,5
228323,Ni4S8,0,0,0,0,0,1,4
198960,K1Ta1V2,0,0,0,0,0,1,5
117643,Cl1Pb1W1,0,0,0,0,0,1,5
7468,Ag1La1Na1,0,0,0,0,0,1,5
139196,Cu2K1Sr1,0,0,0,0,0,1,5
162507,Ga1O3Zn1,0,0,0,0,0,1,5
183379,Hg1Re1Si2,0,0,0,0,0,1,5
57928,Ba1Sc1Ti1,0,0,0,0,0,1,5
85382,B1Pb1Sr2,0,0,0,0,0,1,5
63472,Be1Br1Mo2,0,0,0,0,0,1,5
84577,B1Nb1Pb2,0,0,0,0,0,1,5
221593,Na1Pt1Te1,0,0,0,0,0,1,5
231649,O32Sb4Tl4V8,0,0,0,1,0,0,3
150979,Fe1Na1Ni2,0,0,0,0,0,1,5
87719,Br2Cr1Se1,0,0,0,0,0,1,5
189250,In2P1Tl1,0,0,0,0,0,1,5
75375,Bi1Ce2O2,0,0,0,0,0,1,5
48686,Ba1Cd1Pd1,0,0,0,0,0,1,5
212849,Mg3Tl3Y3,0,0,0,0,0,1,5
192990,Ir1P1Ru2,0,0,0,0,0,1,5
156862,F1O3Se1,0,0,0,0,0,1,5
185963,In1Ir1P1,0,0,0,0,0,1,5
77117,Bi1Fe2Zr1,0,0,0,0,0,1,5
31659,As1Cl2Li1,0,0,0,0,0,1,5
93598,B1W1Zr2,0,0,0,0,0,1,5
49659,Ba1Co1Pb1,0,0,0,0,0,1,5
155995,F10H1P1Pb2,0,1,0,0,0,0,3
91993,Br1P2Pb1,0,0,0,0,0,1,5
56845,Ba1Pd1Ta2,0,0,0,0,0,1,5
21655,Al2Ir1Rh1,0,0,0,0,0,1,5
84365,B1Na1Pb1,0,0,0,0,0,1,5
178691,Hf18Re8S2,0,0,0,0,0,1,5
28754,Al1Tl1Y2,0,0,0,0,0,1,5
138998,Cu1K2N6O12Pb1,0,0,0,0,0,1,5
132584,Cr2O12Ta4,0,0,0,0,1,0,3
84857,B6Ni2W6,0,0,0,0,0,1,5
167938,Ge1La1Ru1,0,0,0,0,0,1,5
194092,K1La1Mn2,0,0,0,0,0,1,5
55745,Ba6Ni3Si9,0,0,0,0,0,1,5
22294,Al2La2O6,0,1,0,0,0,0,3
229024,Ni12Si8Ta4,0,0,0,0,0,1,5
229877,Ni1W1Zr2,0,0,0,0,0,1,5
195416,K1Mo1Sr2,0,0,0,0,0,1,5
148870,Fe1In2Pb1,0,0,0,0,0,1,5
115097,Cl1Hg1Pb2,0,0,0,0,0,1,5
228389,Ni1Sb1Si2,0,0,0,0,0,1,5
183145,Hg8P20Te4,0,0,0,0,0,1,5
123383,Co2Mn2Si2,0,0,0,0,0,1,5
242958,Re1Si2Y1,0,0,0,0,0,1,5
127052,Co1Sn1V1,0,0,0,0,0,1,5
244817,Ru1W1Y2,0,0,0,0,0,1,5
209158,Mg1Mo1V2,0,0,0,0,0,1,5
51834,Ba2Ga1W1,0,0,0,0,0,1,5
156802,F3O1Rb1,0,0,0,0,0,1,0
34518,As1Hg2Os1,0,0,0,0,0,1,5
13967,Al10B2O18,0,0,0,1,0,0,3
100462,Ca1O1,0,0,0,1,0,0,3
187259,In2Mn1Pd1,0,0,0,0,0,1,5
181900,Hg2Mo1Te1,0,0,0,0,0,1,5
171824,Ge1P1Tc1,0,0,0,0,0,1,5
40876,Au1Cd2Cu1,0,0,0,0,0,1,5
60805,B4Ca4H4O20Si4,0,0,0,1,0,0,3
144606,Cu1Si1Tc1,0,0,0,0,0,1,5
80364,B1In1Mo2,0,0,0,0,0,1,5
81291,Bi1P1Se2,0,0,0,0,0,1,5
191524,Ir1Li2Nb1,0,0,0,0,0,1,5
22856,Al1Li1Si2,0,0,0,0,0,1,5
89950,Br1In2Pt1,0,0,0,0,0,1,5
98649,Ca1La1Si1,0,0,0,0,0,1,5
197501,K1Pt1Ta2,0,0,0,0,0,1,5
99872,Ca1Na1Se1,0,0,0,0,0,1,5
154642,Fe2Si1Ta1,0,0,0,0,0,1,5
17989,Al1Cu2Pb1,0,0,0,0,0,1,5
38496,As1Ru1Si2,0,0,0,0,0,1,5
84210,B2Mo1Ti1,0,0,0,0,0,1,5
171598,Ge1P1Re2,0,0,0,0,0,1,5
157378,Ga2,0,0,0,0,0,1,5
179209,Hf1Sb2Sn1,0,0,0,0,0,1,5
123281,Co2Mn1Re1,0,0,0,0,0,1,5
186178,In1Ir1Zr1,0,0,0,0,0,1,5
84852,B1Ni2W1,0,0,0,0,0,1,5
30953,As1Ca3Cl3,0,1,0,0,0,0,1
73070,B1F3P1,0,0,0,0,0,1,5
34402,As1Hf2Si1,0,0,0,0,0,1,5
51715,Ba1Ga1Sb2,0,0,0,0,0,1,5
185316,Ho16O24,0,0,0,1,0,0,3
172618,Ge24Ru12Sc12,0,0,0,0,0,1,5
190839,In1Tl1Zn1,0,0,0,0,0,1,5
10030,Ag1Re2Ru1,0,0,0,0,0,1,5
54484,Ba1Mg1Pd2,0,0,0,0,0,1,5
120739,Co2Ge1Mo1,0,0,0,0,0,1,5
137178,Cu1Ge1V2,0,0,0,0,0,1,5
245887,Sc2Sn1Y1,0,0,0,0,0,1,5
136386,Cu2Ga1P1,0,0,0,0,0,1,5
95622,Ca8Fe8O20,0,0,1,0,0,0,2
177644,Hf1Os1Sc1,0,0,0,0,0,1,5
88670,Br2Ga1Mn1,0,0,0,0,0,1,5
198273,K2Sb1Y1,0,0,0,0,0,1,5
124423,Co1Ni2Sn1,0,0,0,0,0,1,5
58259,Ba1Si1Zn1,0,0,0,0,0,1,5
223537,Nb1Ni1Ti2,0,0,0,0,0,1,5
99360,Ca8Mn4O16,0,0,1,0,0,0,2
145572,Cu1Y1Zn2,0,0,0,0,0,1,5
147159,Eu4Se16Y8,0,0,0,1,0,0,1
165440,Gd2K2Na2O10Ta2,0,1,0,0,0,0,1
158871,Ga1In1Zn2,0,0,0,0,0,1,5
41124,Au1Cl1Hf1,0,0,0,0,0,1,5
98046,Ca1Ir2P1,0,0,0,0,0,1,5
117688,Cl2Pd1Se1,0,0,0,0,0,1,5
45928,Au1Pt1Si2,0,0,0,0,0,1,5
93099,B1Sc1W2,0,0,0,0,0,1,5
130516,Cr1K1V1,0,0,0,0,0,1,5
166836,Ge1In2Se1,0,0,0,0,0,1,5
136838,Cu1Ge1Na1,0,0,0,0,0,1,5
219474,Mo1Se2Zr1,0,0,0,0,0,1,5
24868,Al4Ni24Ru4,0,0,0,0,0,1,5
214158,Mn8O20Pr4,0,0,0,1,0,0,3
62174,B1Co1Se1,0,0,0,0,0,1,5
208501,Li1Tl1Zr1,0,0,0,0,0,1,5
95508,Ca8Fe4Ga4O20,0,0,1,0,0,0,2
188354,In4Ni1Zr1,0,0,0,0,0,1,5
17613,Al4Cu2,0,0,0,0,0,1,5
126385,Co4Sc10Si6,0,0,0,0,0,1,5
98956,Ca2Mg1Nb1,0,0,0,0,0,1,5
160834,Ga2Mn1W1,0,0,0,0,0,1,5
14645,Al1B1Ti2,0,0,0,0,0,1,5
19101,Al1Fe1Te1,0,0,0,0,0,1,5
244514,Ru1Si2Tc1,0,0,0,0,0,1,5
193985,Ir1W1Zr2,0,0,0,0,0,1,5
150609,Fe1Mn1Zn1,0,0,0,0,0,1,5
7719,Ag1Li2Rh1,0,0,0,0,0,1,5
40874,Au1Cd1Cu2,0,0,0,0,0,1,5
53230,Ba1In1Se1,0,0,0,0,0,1,5
4038,Ag1Cl2Rh1,0,0,0,0,0,1,5
153972,Fe1Sb1Sr1,0,0,0,0,0,1,5
16768,Al8Co12O48Si12,0,0,0,1,0,0,1
26385,Al16P7Pd6,0,0,0,0,0,1,5
67154,Be1Hf1In1,0,0,0,0,0,1,5
125539,Co1Pt2Sc1,0,0,0,0,0,1,5
156106,F3K1Mn1,0,0,0,1,0,0,3
132322,Cr3O8Rb1,0,0,0,1,0,0,3
124326,Co1Ni1Pt1,0,0,0,0,0,1,5
190837,In1Tl1Zn1,0,0,0,0,0,1,5
78948,Bi1La2Os1,0,0,0,0,0,1,5
20301,Al1Hf1Hg1,0,0,0,0,0,1,5
117278,Cl2O8Pb2Re2,0,0,0,1,0,0,3
24252,Al1Na1Si1,0,0,0,1,0,0,5
72696,Be1W1Zr2,0,0,0,0,0,1,5
41258,Au1Cl1Os2,0,0,0,0,0,1,5
37675,As2Pb1W1,0,0,0,0,0,1,5
102826,Ca1Sn2Zr1,0,0,0,0,0,1,5
240903,P1Ti2Zn1,0,0,0,0,0,1,5
111479,Ce1Ni2Si2,0,0,0,0,0,1,5
209948,Mg1Ni1W2,0,0,0,0,0,1,5
182208,Hg1Nb1Tl1,0,0,0,0,0,1,5
115781,Cl1K2Sr1,0,0,0,0,0,1,5
176677,Hf1Mo2Zn1,0,0,0,0,0,1,5
238986,P3Pt7Sb4,0,0,0,0,0,1,5
14986,Al1Ca1Na1,0,0,0,0,0,1,5
79982,Bi1Na1Pt2,0,0,0,0,0,1,5
34189,As1Ge1Zn1,0,0,0,0,0,1,5
188404,In8O12,0,0,0,1,0,0,3
4122,Ag2Cl1Tc1,0,0,0,0,0,1,5
15408,Al1Cd1Ga2,0,0,0,0,0,1,5
198955,K2Ta1Tl1,0,0,0,0,0,1,5
180540,Hg2Ir1Mn1,0,0,0,0,0,1,5
87881,Br1Cu1K1,0,0,0,0,0,1,5
42239,Au3Er3Ga8,0,0,0,0,0,1,5
14688,Al2B8Yb2,0,0,0,0,0,1,5
94157,Ca1Cd1Tl1,0,0,0,0,0,1,5
97245,Ca1Hg1Pt1,0,0,0,0,0,1,5
62877,B15Cu8Ta6,0,0,0,0,0,1,5
182218,Hg1Nb1Zn1,0,0,0,0,0,1,5
226360,Nd2Pd6S8,0,0,0,0,0,1,5
156929,F1O3Tl1,0,0,0,0,0,1,5
78483,Bi1In1Si2,0,0,0,0,0,1,5
116703,Cl2Mo1Pt1,0,0,0,0,0,1,5
98298,Ca1K1Mo2,0,0,0,0,0,1,5
174305,Hf1Hg1Pb2,0,0,0,0,0,1,5
185468,Ho8Re12Si20,0,0,0,0,0,1,5
49676,Ba2Co1Pd1,0,0,0,0,0,1,5
78768,Bi2K1Sc1,0,0,0,0,0,1,5
70003,Be1Nb1V2,0,0,0,0,0,1,5
109088,Cd1Pb1Rh1,0,0,0,0,0,1,5
197186,K1P1Rh2,0,0,0,0,0,1,5
237443,Pd1Sb2Si1,0,0,0,0,0,1,5
14281,Al1Br1Na2,0,0,0,0,0,1,5
219463,Mo1Se1Zn2,0,0,0,0,0,1,5
14317,Al1Br1Os2,0,0,0,0,0,1,5
80567,Bi2O8P2,0,0,0,1,0,0,3
138673,Cu1Ir1Nb1,0,0,0,0,0,1,5
118748,C4N16S12,0,0,0,1,0,0,3
8205,Ag2Mn1Zn1,0,0,0,0,0,1,5
90135,Br1K1Nb2,0,0,0,0,0,1,5
66736,Be1Ga2Ti1,0,0,0,0,0,1,5
244909,Sb2,0,0,0,0,0,1,5
54687,Ba2Mn1Na1,0,0,0,0,0,1,5
207583,Li1S1,0,0,0,0,0,1,3
116372,Cl1Mg2Sc1,0,0,0,0,0,1,5
215999,Mn1Ru2Zn1,0,0,0,0,0,1,5
101692,Ca2Pt1Rh1,0,0,0,0,0,1,5
171230,Ge2Pb1Y1,0,0,0,0,0,1,5
185112,Ho3In1N1,0,0,0,0,0,1,5
108374,Cd4Nb4Ni24,0,0,0,0,0,1,5
111324,Ce2K4Nb10O30,0,0,0,0,0,1,3
169032,Ge3Mn3P3,0,0,0,0,0,1,5
153178,Fe1Pt1Sr1,0,0,0,0,0,1,5
183286,Hg1Pt1W2,0,0,0,0,0,1,5
145949,Dy4Ni4,0,0,0,0,0,1,5
18944,Al1Fe2Re1,0,0,0,0,0,1,5
209444,Mg3Nb6O11,0,0,0,1,0,0,3
180014,Hf1Tc2Zr1,0,0,0,0,0,1,5
191124,Ir1K2Pb1,0,0,0,0,0,1,5
220140,Na2Nb1Zn1,0,0,0,0,0,1,5
50099,Ba1Cu1F3,0,0,0,1,0,0,5
48858,Ba1Cd1W2,0,0,0,0,0,1,5
207050,Li1Pt1V1,0,0,0,0,0,1,5
187245,In1Mn1Pb2,0,0,0,0,0,1,5
237177,Pb1Zn1Zr1,0,0,0,0,0,1,5
220546,Na4O8Se2,0,0,0,1,0,0,3
42825,Au1Ga1Ta1,0,0,0,0,0,1,5
80446,B2In1Pt1,0,0,0,0,0,1,5
150149,Fe1Li1Zn2,0,0,0,0,0,1,5
78435,Bi1In1Pt2,0,0,0,0,0,1,5
27441,Al39Ru12,0,0,0,0,0,1,5
46258,Au1Se1Ti2,0,0,0,0,0,1,5
104715,Cd1Cu2Re1,0,0,0,0,0,1,5
24217,Al2Na1Ru1,0,0,0,0,0,1,5
28839,Al1W2Y1,0,0,0,0,0,1,5
243037,Re1Sn1V1,0,0,0,0,0,1,5
151852,Fe6O8,1,0,0,0,0,0,0
144932,Cu1Sr2V1,0,0,0,0,0,1,5
229989,N8O12,0,0,0,1,0,0,3
245588,Sc2Se1Sr1,0,0,0,0,0,1,5
167165,Ge1Ir2Re1,0,0,0,0,0,1,5
145295,Cu1Te1V2,0,0,0,0,0,1,5
84954,B4Os2,0,0,0,0,0,1,5
180781,Hg1Ir1Zn2,0,0,0,0,0,1,5
196537,K4O16Sr4V4,0,0,0,1,0,0,1
73410,B2Ga1Sr1,0,0,0,0,0,1,5
226131,Nb1Tl2W1,0,0,0,0,0,1,5
116028,Cl2La6S16Si4,0,0,0,1,0,0,3
34834,As2In1Pb1,0,0,0,0,0,1,5
222365,Na2Sc1Si1,0,0,0,0,0,1,5
213518,Mn2Nb1Ru1,0,0,0,0,0,1,5
225488,Nb4Se8,0,0,0,0,0,1,3
140576,Cu2Mn1Sn1,0,0,0,0,0,1,5
53830,Ba1La1Li1,0,0,0,0,0,1,5
23957,Al2Mo1Te1,0,0,0,0,0,1,5
100614,Ca2O6Si2,0,1,0,0,0,0,1
80620,Bi24O64Re8,0,1,0,0,0,0,1
179221,Hf1Sb1Ta1,0,0,0,0,0,1,5
201791,La1Pb1Tc1,0,0,0,0,0,1,5
189912,In1Ru1Te2,0,0,0,0,0,1,5
236251,Pb1Se1,0,1,0,0,0,0,1
123299,Co1Mn2Ru1,0,0,0,0,0,1,5
182610,Hg1Os1Zn2,0,0,0,0,0,1,5
